Number,# of Divisors,# of Factors,Fermat,Gaussian Prime,Highly Composite,Mod 5,Mod 6,Powerful,Pronic,Squarefree
2,0,1,0,0,0,2,2,0,1,1
3,0,1,1,1,0,3,3,0,0,1
4,1,1,0,0,1,4,4,1,0,0
5,0,1,1,0,0,0,5,0,0,1
6,2,2,0,0,1,1,0,0,1,1
7,0,1,1,1,0,2,1,0,0,1
8,2,1,0,0,0,3,2,1,0,0
9,1,1,0,0,0,4,3,1,0,0
10,2,2,0,0,0,0,4,0,0,1
11,0,1,1,1,0,1,5,0,0,1
12,4,2,0,0,1,2,0,0,1,0
13,0,1,1,0,0,3,1,0,0,1
14,2,2,0,0,0,4,2,0,0,1
15,2,2,0,0,0,0,3,0,0,1
16,3,1,0,0,0,1,4,1,0,0
17,0,1,1,0,0,2,5,0,0,1
18,4,2,0,0,0,3,0,0,0,0
19,0,1,1,1,0,4,1,0,0,1
20,4,2,0,0,0,0,2,0,1,0
21,2,2,0,0,0,1,3,0,0,1
22,2,2,0,0,0,2,4,0,0,1
23,0,1,1,1,0,3,5,0,0,1
24,6,2,0,0,1,4,0,0,0,0
25,1,1,0,0,0,0,1,1,0,0
26,2,2,0,0,0,1,2,0,0,1
27,2,1,0,0,0,2,3,1,0,0
28,4,2,0,0,0,3,4,0,0,0
29,0,1,1,0,0,4,5,0,0,1
30,6,3,0,0,0,0,0,0,1,1
31,0,1,1,1,0,1,1,0,0,1
32,4,1,0,0,0,2,2,1,0,0
33,2,2,0,0,0,3,3,0,0,1
34,2,2,0,0,0,4,4,0,0,1
35,2,2,0,0,0,0,5,0,0,1
36,7,2,0,0,1,1,0,1,0,0
37,0,1,1,0,0,2,1,0,0,1
38,2,2,0,0,0,3,2,0,0,1
39,2,2,0,0,0,4,3,0,0,1
40,6,2,0,0,0,0,4,0,0,0
41,0,1,1,0,0,1,5,0,0,1
42,6,3,0,0,0,2,0,0,1,1
43,0,1,1,1,0,3,1,0,0,1
44,4,2,0,0,0,4,2,0,0,0
45,4,2,0,0,0,0,3,0,0,0
46,2,2,0,0,0,1,4,0,0,1
47,0,1,1,1,0,2,5,0,0,1
48,8,2,0,0,1,3,0,0,0,0
49,1,1,0,0,0,4,1,1,0,0
50,4,2,0,0,0,0,2,0,0,0
51,2,2,0,0,0,1,3,0,0,1
52,4,2,0,0,0,2,4,0,0,0
53,0,1,1,0,0,3,5,0,0,1
54,6,2,0,0,0,4,0,0,0,0
55,2,2,0,0,0,0,1,0,0,1
56,6,2,0,0,0,1,2,0,1,0
57,2,2,0,0,0,2,3,0,0,1
58,2,2,0,0,0,3,4,0,0,1
59,0,1,1,1,0,4,5,0,0,1
60,10,3,0,0,1,0,0,0,0,0
61,0,1,1,0,0,1,1,0,0,1
62,2,2,0,0,0,2,2,0,0,1
63,4,2,0,0,0,3,3,0,0,0
64,5,1,0,0,0,4,4,1,0,0
65,2,2,0,0,0,0,5,0,0,1
66,6,3,0,0,0,1,0,0,0,1
67,0,1,1,1,0,2,1,0,0,1
68,4,2,0,0,0,3,2,0,0,0
69,2,2,0,0,0,4,3,0,0,1
70,6,3,0,0,0,0,4,0,0,1
71,0,1,1,1,0,1,5,0,0,1
72,10,2,0,0,0,2,0,1,1,0
73,0,1,1,0,0,3,1,0,0,1
74,2,2,0,0,0,4,2,0,0,1
75,4,2,0,0,0,0,3,0,0,0
76,4,2,0,0,0,1,4,0,0,0
77,2,2,0,0,0,2,5,0,0,1
78,6,3,0,0,0,3,0,0,0,1
79,0,1,1,1,0,4,1,0,0,1
80,8,2,0,0,0,0,2,0,0,0
81,3,1,0,0,0,1,3,1,0,0
82,2,2,0,0,0,2,4,0,0,1
83,0,1,1,1,0,3,5,0,0,1
84,10,3,0,0,0,4,0,0,0,0
85,2,2,0,0,0,0,1,0,0,1
86,2,2,0,0,0,1,2,0,0,1
87,2,2,0,0,0,2,3,0,0,1
88,6,2,0,0,0,3,4,0,0,0
89,0,1,1,0,0,4,5,0,0,1
90,10,3,0,0,0,0,0,0,1,0
91,2,2,0,0,0,1,1,0,0,1
